Accelerogram: 
Elastic Spectrum. Number of Viscous Damping Values: 4
 
        Period [sec]	     Acc./Damp.=2.5%	     Acc./Damp.=5.0%	     Acc./Damp.=7.5%	    Acc./Damp.=10.0%	     Vel./Damp.=2.5%	     Vel./Damp.=5.0%	     Vel./Damp.=7.5%	    Vel./Damp.=10.0%	     Dsp./Damp.=2.5%	     Dsp./Damp.=5.0%	     Dsp./Damp.=7.5%	    Dsp./Damp.=10.0%	  PS-Acc./Damp.=2.5%	  PS-Acc./Damp.=5.0%	  PS-Acc./Damp.=7.5%	 PS-Acc./Damp.=10.0%	  PS-Vel./Damp.=2.5%	  PS-Vel./Damp.=5.0%	  PS-Vel./Damp.=7.5%	 PS-Vel./Damp.=10.0%	
               0.000	             0.13085	             0.13085	             0.13085	             0.13085	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.13085	             0.13085	             0.13085	             0.13085	             0.00000	             0.00000	             0.00000	             0.00000	
               0.050	             0.15122	             0.14059	             0.13700	             0.13507	             0.59856	             0.55745	             0.51994	             0.48569	             0.00939	             0.00873	             0.00851	             0.00838	             0.15121	             0.14052	             0.13692	             0.13497	             1.18046	             1.09697	             1.06887	             1.05366	
               0.100	             0.14538	             0.14876	             0.14883	             0.14804	             1.37630	             1.05608	             0.94225	             0.85548	             0.03612	             0.03694	             0.03692	             0.03668	             0.14536	             0.14865	             0.14859	             0.14762	             2.26955	             2.32093	             2.31996	             2.30479	
               0.150	             0.22698	             0.20312	             0.17834	             0.15950	             4.01652	             3.57647	             3.05578	             2.64803	             0.12678	             0.11319	             0.09898	             0.08814	             0.22676	             0.20245	             0.17703	             0.15765	             5.31053	             4.74138	             4.14605	             3.69202	
               0.200	             0.24244	             0.21527	             0.19976	             0.19073	             4.55572	             4.22391	             3.76525	             3.48351	             0.24078	             0.21353	             0.19766	             0.18819	             0.24224	             0.21483	             0.19886	             0.18933	             7.56429	             6.70839	             6.20976	             5.91201	
               0.250	             0.22302	             0.20164	             0.20274	             0.20112	             6.74142	             5.43253	             4.61349	             4.42216	             0.34619	             0.31241	             0.31339	             0.30975	             0.22291	             0.20116	             0.20179	             0.19944	             8.70070	             7.85174	             7.87645	             7.78487	
               0.300	             0.30606	             0.25134	             0.22627	             0.21208	             9.75736	             7.93937	             7.04853	             6.44767	             0.68435	             0.56051	             0.50308	             0.46985	             0.30600	             0.25063	             0.22495	             0.21009	            14.33292	            11.73928	            10.53649	             9.84045	
               0.350	             0.25446	             0.21236	             0.19863	             0.19793	            10.54939	             8.99609	             8.11342	             7.45861	             0.77379	             0.64463	             0.60163	             0.59726	             0.25420	             0.21177	             0.19764	             0.19621	            13.89100	            11.57228	            10.80034	            10.72206	
               0.400	             0.31966	             0.28081	             0.25079	             0.22845	            15.75962	            12.86809	            10.70311	             9.11706	             1.27043	             1.11323	             0.99054	             0.89869	             0.31954	             0.28000	             0.24914	             0.22604	            19.95589	            17.48653	            15.55939	            14.11659	
               0.450	             0.31160	             0.25359	             0.22479	             0.20415	            16.24751	            12.96568	            11.13218	             9.75548	             1.56652	             1.27219	             1.12468	             1.01817	             0.31132	             0.25282	             0.22351	             0.20234	            21.87269	            17.76306	            15.70348	            14.21633	
               0.500	             0.25693	             0.22852	             0.21288	             0.19858	            12.96161	            10.61337	             9.46954	             8.73973	             1.59499	             1.41634	             1.31592	             1.22301	             0.25675	             0.22799	             0.21183	             0.19687	            20.04322	            17.79819	            16.53630	            15.36878	
               0.550	             0.21549	             0.20327	             0.19951	             0.19283	            14.85752	            10.99990	             9.66440	             9.33006	             1.61898	             1.52451	             1.49204	             1.43717	             0.21538	             0.20281	             0.19849	             0.19119	            18.49513	            17.41598	            17.04501	            16.41814	
               0.600	             0.25746	             0.22643	             0.20946	             0.19826	            20.99511	            14.69652	            12.84823	            11.58637	             2.30155	             2.02072	             1.86408	             1.75815	             0.25728	             0.22589	             0.20838	             0.19654	            24.10175	            21.16093	            19.52057	            18.41130	
               0.650	             0.22816	             0.22383	             0.21159	             0.19874	            21.36192	            16.78743	            15.18651	            13.58064	             2.39397	             2.34437	             2.21011	             2.06931	             0.22802	             0.22330	             0.21051	             0.19710	            23.14111	            22.66174	            21.36384	            20.00288	
               0.700	             0.32709	             0.26366	             0.22871	             0.20861	            25.67767	            20.87832	            17.54102	            15.03621	             3.97933	             3.20124	             2.76901	             2.51783	             0.32682	             0.26291	             0.22741	             0.20679	            35.71833	            28.73426	            24.85458	            22.59999	
               0.750	             0.31135	             0.24864	             0.22848	             0.21399	            27.56793	            21.49178	            17.49833	            14.84062	             4.34859	             3.46622	             3.17678	             2.96510	             0.31111	             0.24798	             0.22728	             0.21213	            36.43064	            29.03852	            26.61368	            24.84035	
               0.800	             0.24096	             0.22958	             0.21917	             0.20988	            22.03961	            19.45972	            17.36314	            15.66352	             3.82939	             3.64167	             3.46603	             3.30674	             0.24079	             0.22899	             0.21794	             0.20793	            30.07591	            28.60160	            27.22213	            25.97102	
               0.850	             0.25428	             0.21547	             0.21101	             0.20553	            25.44427	            20.05774	            18.71230	            17.36513	             4.56121	             3.85828	             3.76732	             3.65510	             0.25406	             0.21490	             0.20984	             0.20359	            33.71638	            28.52034	            27.84797	            27.01840	
               0.900	             0.23413	             0.21538	             0.21150	             0.20622	            26.29355	            21.60241	            20.37111	            19.02263	             4.70818	             4.32355	             4.23231	             4.10969	             0.23391	             0.21481	             0.21027	             0.20418	            32.86926	            30.18405	            29.54705	            28.69100	
               0.950	             0.23552	             0.22809	             0.21963	             0.21130	            28.74035	            24.68112	            22.71762	            20.84607	             5.27803	             5.10096	             4.89628	             4.69042	             0.23535	             0.22745	             0.21833	             0.20915	            34.90820	            33.73709	            32.38335	            31.02184	
               1.000	             0.26739	             0.24575	             0.22983	             0.21714	            32.53192	            28.14483	            24.84886	            22.22326	             6.63961	             6.08925	             5.67613	             5.34069	             0.26720	             0.24505	             0.22842	             0.21493	            41.71785	            38.25987	            35.66416	            33.55652	
               1.050	             0.27873	             0.25395	             0.23493	             0.21990	            33.67853	            28.84562	            25.14863	            22.24904	             7.62971	             6.93580	             6.39395	             5.95856	             0.27850	             0.25317	             0.23339	             0.21750	            45.65604	            41.50368	            38.26129	            35.65590	
               1.100	             0.27648	             0.25281	             0.23352	             0.21810	            31.41016	            26.92921	            23.70977	            21.41079	             8.30452	             7.57196	             6.96460	             6.47006	             0.27620	             0.25183	             0.23163	             0.21519	            47.43525	            43.25089	            39.78168	            36.95687	
               1.150	             0.27089	             0.24501	             0.22586	             0.21119	            31.48870	            27.43992	            24.32647	            21.87170	             8.89235	             8.01748	             7.35535	             6.83562	             0.27059	             0.24397	             0.22382	             0.20800	            48.58456	            43.80459	            40.18693	            37.34732	
               1.200	             0.25099	             0.22866	             0.21227	             0.19992	            31.22013	            27.13976	            24.12872	            21.76609	             8.97129	             8.14614	             7.52425	             7.03930	             0.25072	             0.22766	             0.21028	             0.19672	            46.97352	            42.65304	            39.39687	            36.85768	
